t,Node_ID,Temp,Moist
09-Mar-2022 13:02:32,9,27.06,41.22
09-Mar-2022 13:09:24,3,27.41,38.37
09-Mar-2022 13:09:51,3,27.41,38.37
09-Mar-2022 13:11:50,10,27.41,42.04
09-Mar-2022 13:19:28,1,27.06,56.73
09-Mar-2022 13:22:27,9,27.41,41.22
09-Mar-2022 13:23:13,4,27.76,46.53
09-Mar-2022 13:24:09,4,27.76,46.53
09-Mar-2022 13:29:45,3,27.41,38.37
09-Mar-2022 13:33:34,5,26.71,37.96
09-Mar-2022 13:38:10,5,26.71,37.55
09-Mar-2022 13:39:23,1,27.06,56.33
09-Mar-2022 13:42:22,9,27.41,41.22
09-Mar-2022 13:43:43,6,27.41,40
09-Mar-2022 13:44:01,4,27.76,46.53
09-Mar-2022 13:46:01,6,27.06,36.73
09-Mar-2022 13:49:40,3,27.41,38.37
09-Mar-2022 13:50:51,7,27.06,36.73
09-Mar-2022 13:52:08,7,27.06,34.29
09-Mar-2022 13:52:28,7,27.06,33.88
09-Mar-2022 13:57:47,8,27.76,35.1
09-Mar-2022 13:58:04,5,27.06,37.55
09-Mar-2022 13:58:55,8,27.76,35.1
09-Mar-2022 13:59:20,1,27.41,56.33
09-Mar-2022 14:03:58,4,28.1,46.53
09-Mar-2022 14:05:12,9,27.41,40.41
09-Mar-2022 14:05:36,9,27.41,40.41
09-Mar-2022 14:05:54,9,27.41,40.41
09-Mar-2022 14:05:54,6,27.06,36.33
09-Mar-2022 14:06:14,9,27.41,40
09-Mar-2022 14:09:36,3,27.76,37.96
09-Mar-2022 14:11:19,10,28.1,41.63
09-Mar-2022 14:11:58,10,28.1,41.22
09-Mar-2022 14:12:19,7,27.06,33.88
09-Mar-2022 14:12:47,10,28.1,41.22
09-Mar-2022 14:13:17,10,28.1,41.22
09-Mar-2022 14:17:59,5,27.06,37.14
09-Mar-2022 14:18:50,8,28.1,35.1
09-Mar-2022 14:19:16,1,27.41,56.33
09-Mar-2022 14:21:43,11,27.41,37.96
09-Mar-2022 14:23:55,4,28.1,46.53
09-Mar-2022 14:25:50,6,27.06,36.33
09-Mar-2022 14:25:53,9,27.76,40.41
09-Mar-2022 14:29:32,3,27.76,37.96
09-Mar-2022 14:30:44,12,28.1,34.69
09-Mar-2022 14:31:33,12,28.1,33.47
09-Mar-2022 14:32:07,12,28.1,33.06
09-Mar-2022 14:32:14,7,27.06,33.47
09-Mar-2022 14:33:12,10,28.45,41.22
09-Mar-2022 14:37:34,2,27.41,36.73
09-Mar-2022 14:37:55,5,27.06,37.14
09-Mar-2022 14:38:47,8,28.1,35.1
09-Mar-2022 14:39:14,1,27.41,56.33
09-Mar-2022 14:41:25,11,27.41,37.55
09-Mar-2022 14:42:35,2,27.41,36.73
09-Mar-2022 14:43:51,4,28.45,46.53
09-Mar-2022 14:45:47,6,27.06,36.33
09-Mar-2022 14:45:47,9,27.76,40.41
09-Mar-2022 14:47:35,2,27.41,36.73
09-Mar-2022 14:49:28,3,28.1,37.96
09-Mar-2022 14:52:11,7,27.41,33.47
